N    TONE      TSEQ       TN
1    16770.9   16364.8   16770.9
2    16770.9   16364.8    8472.5
3    16770.9   16364.8    5700.75
4    16770.9   16364.8    4280.88
5    16770.9   16364.8    3474.75
6    16770.9   16364.8    3042.62
7    16770.9   16364.8    2642.75
8    16770.9   16364.8    2345.12
9    16770.9   16364.8    2126.75
10   16770.9   16364.8    1909
11   16770.9   16364.8    1776.88
12   16770.9   16364.8    1634.75
13   16770.9   16364.8    1528.5
14   16770.9   16364.8    1472.12
15   16770.9   16364.8    1440.5
16   16770.9   16364.8    1420
