N     TONE     TSEQ        TN
1    81375.2   81237.6   81375.2
2    81375.2   81237.6   40723.5
3    81375.2   81237.6   27168.8
4    81375.2   81237.6   20408
5    81375.2   81237.6   16311
6    81375.2   81237.6   13600.4
7    81375.2   81237.6   11664.1
8    81375.2   81237.6   10225.9
9    81375.2   81237.6    9119.75
10   81375.2   81237.6    8174.5
11   81375.2   81237.6    7446
12   81375.2   81237.6    6821.75
13   81375.2   81237.6    6335.62
14   81375.2   81237.6    5904.5
15   81375.2   81237.6    5476.62
16   81375.2   81237.6    5127.12
17   81375.2   81237.6    4832
18   81375.2   81237.6    4568.12
19   81375.2   81237.6    4354.5
20   81375.2   81237.6    4138.38
21   81375.2   81237.6    3944.12
22   81375.2   81237.6    3764.62
23   81375.2   81237.6    3602.75
24   81375.2   81237.6    3452.75
25   81375.2   81237.6    3310.62
26   81375.2   81237.6    3189.88
27   81375.2   81237.6    3074.25
28   81375.2   81237.6    2964.38
29   81375.2   81237.6    2863
30   81375.2   81237.6    2764.12
31   81375.2   81237.6    2683.25
32   81375.2   81237.6    2594.62
33   81375.2   81237.6    2523.12
34   81375.2   81237.6    2451.12
35   81375.2   81237.6    2379.75
36   81375.2   81237.6    2317.75
37   81375.2   81237.6    2259.12
38   81375.2   81237.6    2202.88
39   81375.2   81237.6    2146.88
40   81375.2   81237.6    2096.12
41   81375.2   81237.6    2045.62
42   81375.2   81237.6    2000.88
43   81375.2   81237.6    1954.38
44   81375.2   81237.6    1911
45   81375.2   81237.6    1870.38
46   81375.2   81237.6    1832.75
47   81375.2   81237.6    1792.38
48   81375.2   81237.6    1755.62
49   81375.2   81237.6    1724.88
50   81375.2   81237.6    1693.25
51   81375.2   81237.6    1660.38
52   81375.2   81237.6    1633
53   81375.2   81237.6    1604.75
54   81375.2   81237.6    1574.88
55   81375.2   81237.6    1545.12
56   81375.2   81237.6    1519.75
57   81375.2   81237.6    1494.62
58   81375.2   81237.6    1472.5
59   81375.2   81237.6    1448.25
60   81375.2   81237.6    1432.75
