N      TONE     TSEQ        TN
1    40581.8   40955.1   40581.8 
2    40581.8   40955.1   20310.9
3    40581.8   40955.1   13568.1
4    40581.8   40955.1   10162
5    40581.8   40955.1    8132.12
6    40581.8   40955.1    6888.5
7    40581.8   40955.1    5939.12
8    40581.8   40955.1    5175
9    40581.8   40955.1    4561.12
10   40581.8   40955.1    4081.12
11   40581.8   40955.1    3720.12
12   40581.8   40955.1    3427.38
13   40581.8   40955.1    3169.88
14   40581.8   40955.1    2949.38
15   40581.8   40955.1    2759.38
16   40581.8   40955.1    2613.75
17   40581.8   40955.1    2467.25
18   40581.8   40955.1    2309.12
19   40581.8   40955.1    2198.12
20   40581.8   40955.1    2085.12
21   40581.8   40955.1    1985.5
22   40581.8   40955.1    1901
23   40581.8   40955.1    1824.5
24   40581.8   40955.1    1744.25
25   40581.8   40955.1    1673.62
26   40581.8   40955.1    1615.5
27   40581.8   40955.1    1573.12
28   40581.8   40955.1    1498.25
29   40581.8   40955.1    1455.62
30   40581.8   40955.1    1414
31   40581.8   40955.1    1370.62
32   40581.8   40955.1    1332.38
33   40581.8   40955.1    1292.5
34   40581.8   40955.1    1254.88
35   40581.8   40955.1    1214.75
36   40581.8   40955.1    1184.5
37   40581.8   40955.1    1170.62
38   40581.8   40955.1    1133.38
39   40581.8   40955.1    1101.5
40   40581.8   40955.1    1079.88
41   40581.8   40955.1    1068
42   40581.8   40955.1    1035.5
43   40581.8   40955.1    1028.75
44   40581.8   40955.1    993
45   40581.8   40955.1    975.875
46   40581.8   40955.1    947.875
47   40581.8   40955.1    934.625
48   40581.8   40955.1    909.375
49   40581.8   40955.1    902.125
50   40581.8   40955.1    896.75
51   40581.8   40955.1    868.5
52   40581.8   40955.1    857.75
53   40581.8   40955.1    835
54   40581.8   40955.1    826.375
55   40581.8   40955.1    816
56   40581.8   40955.1    796
57   40581.8   40955.1    785.25
58   40581.8   40955.1    783.25
59   40581.8   40955.1    766.75
60   40581.8   40955.1    748.25
